title,authors,numPages,publicationDate,publisher,price
Winning with People Workbook,John C. Maxwell,256,9/10/2005,HarperCollins Leadership,32.47
Thornhold (The Harpers  #16; Songs & Swords  #4),Elaine Cunningham,384,12/27/2011,Wizards of the Coast,56.83
The Best of the Realms: The Stories of Elaine Cunningham (Forgotten Realms: The Best of the Realms  #3),Elaine Cunningham,345,5/8/2007,Wizards of the Coast,14.44
Changeling Storytellers Guide,Mark  Hunter/Ian Lemke,139,8/1/1998,White Wolf Games Studio,44.55
The Blood Wood (Earthdawn 6113),FASA Corporation/Ian Lemke/Louis J. Prosperi,152,6/1/1997,FASA Corporation,53.41
Basin and Range,John McPhee,240,4/1/1982,Farrar  Straus and Giroux,66.09
The Deltoid Pumpkin Seed,John McPhee,192,9/1/1992,Farrar  Straus and Giroux,35.79
Assembling California,John McPhee,294,2/1/1994,Farrar  Straus and Giroux,14.49
Qué Se Puede Esperar Cuando Se Está Esperando,Heidi Murkoff/Arlene Eisenberg,624,1/31/2006,Workman Publishing Company,39.12
Master of Swords (Mageverse #4),Angela Knight,294,10/3/2006,Berkley Sensation,72.43
Master of the Night (Mageverse #1),Angela Knight,296,10/5/2004,Berkley Sensation,40.2
Master of Wolves (Mageverse  #3),Angela Knight,294,4/4/2006,Berkley,62.14
Captive Dreams,Angela Knight/Diane Whiteside,336,9/5/2006,Berkley Trade,49.35
Master of Dragons (Mageverse #5),Angela Knight,293,6/5/2007,Berkley Sensation,96.57
Master of the Moon (Mageverse #2),Angela Knight,336,5/3/2005,Berkley Sensation,77.2
Jane's Warlord (Warlord #1),Angela Knight,320,6/1/2004,Berkley Sensation,82.53
Over The Moon (Mageverse #3.5),Angela Knight/MaryJanice Davidson/Virginia Kantra/Sunny,330,1/2/2007,Berkley Sensation,40.13
Mr. and Mistress (Dynasties: The Elliotts #5),Heidi Betts,185,5/9/2006,Silhouette,24.95
Artesia Volume 1,Mark Smylie,192,9/20/2011,Archaia,58.46
Law of Enclosures,Dale Peck,320,2/1/1997,Washington Square Press,81.55
The Drift House: The First Voyage,Dale Peck,437,11/1/2006,Bloomsbury Publishing PLC,42.37
Through a Brazen Mirror,Delia Sherman/Cortney Skinner/Ellen Kushner,100,2/25/2015,Circlet Press,36.21
The Porcelain Dove,Delia Sherman,416,7/1/1994,Plume,41.65
Interfictions: An Anthology of Interstitial Writing,Delia Sherman/Theodora Goss/K. Tempest Bradford/Karen Jordan Allen/Rachel Pollack/Veronica Schanoes/Mikal Trimm/Colin Greenland/Vandana Singh/Matthew Cheney/Léa Silhol/Adrián Ferrero/Holly Phillips/Catherynne M. Valente/Christopher Barzak/Leslie What/Anna Tambour/Joy Marchand/Jon Singer/Csilla Kleinheincz/Michael J. DeLuca,291,4/1/2007,Small Beer Press,92.18
The Fall of the Kings (Riverside  #3),Ellen Kushner/Delia Sherman,510,9/30/2003,Bantam,7.99
Killing Time,Cynthia Harrod-Eagles,280,2/1/1999,Avon Books,58.58
The Tangled Thread (Morland Dynasty  #10),Cynthia Harrod-Eagles,474,9/1/1987,Little  Brown Book Group,63.65
The Flood-Tide (Morland Dynasty  #9),Cynthia Harrod-Eagles,428,2/1/1986,Little  Brown Book Group,44.24
The White Road (Morland Dynasty  #28),Cynthia Harrod-Eagles,480,11/1/2006,Little  Brown Book Group,7.44
The Maiden (The Morland Dynasty  #8),Cynthia Harrod-Eagles,413,2/1/1985,Little  Brown Book Group,52.41
The Oak Apple (Morland Dynasty  #4),Cynthia Harrod-Eagles,403,5/1/2001,Little  Brown Book Group,87.57
The Emperor (The Morland Dynasty  #11),Cynthia Harrod-Eagles,512,8/1/1988,Little  Brown Book Group,25.81
The Nature of the Child,Jerome Kagan,352,5/13/1994,Basic Books,98.11
Confessions of a Pagan Nun,Kate Horsley,191,9/10/2002,Shambhala,25.98
Westminster Abby,Micol Ostow,192,5/5/2005,Speak,27.74
Changelings,Anne McCaffrey/Elizabeth Ann Scarborough,320,12/26/2006,Del Rey,64.82
Dragon's Fire (Pern  #19),Anne McCaffrey/Todd McCaffrey,366,8/1/2006,Del Rey Books,51.04
Maelstrom,Anne McCaffrey/Elizabeth Ann Scarborough,237,1/31/2007,Del Rey Books,27.28
The Mark of the Crown (Star Wars: Jedi Apprentice  #4),Jude Watson,131,10/1/1999,Scholastic Inc.,66.12
The Sea,John Banville/John      Lee,0,8/15/2006,Random House Audio,36.2
Joy Within,Joan Goldstein/Manuela Soares,144,11/15/1990,Simon  Schuster,73.7
Butch/Femme,Manuela Soares/Judy Grahn/Nisa Donnelly,64,4/4/1996,Crown Publishing Group (NY),77.88
Expository Writing: Mini-Lessons * Strategies * Activities,Tara McCarthy/Drew Hires/Jaime Lucero/Vincent Ceci,88,4/1/1998,Teaching Resources,5.78
Persuasive Writing: Mini-Lessons  Strategies  Activities,Tara MacCarthy/Drew Hires,64,8/1/1998,Scholastic,79.8
McDougal Littell Science: Student Edition Grade 6 Earth Science 2006,McDougal Littell/Douglas W. Carnine,972,4/12/2005,McDougal Littel,94.1
Daisy Bates: Civil Rights Crusader from Arkansas,Grif Stockley,340,10/18/2005,University Press of Mississippi,28.18
The Loftier Way: Tales from the Ancient American Frontier,Blaine M. Yorgason/Brenton G. Yorgason,131,12/28/1985,Deseret Book Company,78.2
A Higher Justice (The Trials of Kit Shannon #5),James Scott Bell,303,9/1/2003,Bethany House Publishers,82.21
Plot & Structure: Techniques and Exercises for Crafting a Plot That Grips Readers from Start to Finish,James Scott Bell,234,10/6/2004,Writer's Digest Books,99.64
Deadlock,James Scott Bell,319,10/6/2002,Zondervan,78.67
Breach of Promise,James Scott Bell,345,2/15/2004,Zondervan,37.2
Keats's Poetry and Prose,John Keats/Jeffrey N. Cox,673,8/1/2008,W. W. Norton & Company,36.18
A False Mirror (Inspector Ian Rutledge  #9),Charles Todd,384,1/9/2007,William Morrow,83.07
Wings of Fire (Inspector Ian Rutledge  #2),Charles Todd,323,5/15/1999,St. Martin's Paperbacks,77.38
A Cold Treachery (Inspector Ian Rutledge  #7),Charles Todd,416,8/30/2005,Bantam,22.16
The Murder Stone,Charles Todd,416,8/31/2004,Bantam,35.47
Legacy of the Dead (Inspector Ian Rutledge  #4),Charles Todd,356,6/1/2001,Bantam Books,5.5
A Fearsome Doubt (Inspector Ian Rutledge  #6),Charles Todd,384,7/29/2003,Bantam,42.84
Watchers of Time (Inspector Ian Rutledge  #5),Charles Todd,421,7/30/2002,Bantam,21.63
Search the Dark (Inspector Ian Rutledge  #3),Charles Todd,310,5/15/2000,St. Martin's Press,5.73
Bill Bryson's African Diary,Bill Bryson,63,12/2/2002,Doubleday,5.5
Hunters of Dune (Dune Chronicles  #7),Brian Herbert/Kevin J. Anderson,524,8/22/2006,Tor Books,3.92
The Battle Of Corrin (Legends of Dune  #3),Brian Herbert/Kevin J. Anderson,624,9/1/2004,Hodder & Stoughton Ltd,55.32
House Corrino (Prelude to Dune #3),Brian Herbert/Kevin J. Anderson,667,8/27/2002,Spectra Books,77.87
House Harkonnen (Prelude to Dune #2),Brian Herbert/Kevin J. Anderson,733,8/28/2001,Spectra Books,17.75
Doctor Who: The Inside Story,Gary Russell,256,10/26/2006,BBC Books,83.01
Doctor Who Short Trips: Repercussions,Gary Russell/Peter Anghelides/J. Shaun Lyon/Jon de Burgh Miller/Eddie Robson/Todd Green/Andy Russell/Andrew Collins/Kathryn Sullivan/Iain McLaughlin/Mark Michalowski/Joseph Lidster/Trevor Baxendale/Colin Brake/Claire Bartlett/Sarah Groenewegen/Trey Korte/Andy Frankham-Allen,246,7/1/2004,Big Finish,28.51
Gerontius,James Hamilton-Paterson,272,4/17/2002,Not Avail,71.7
Hellstrom's Hive,Frank Herbert,312,3/23/1982,Bantam Books (NY),31.18
The Dark City (Eliot Ness  #1),Max Allan Collins,233,8/1/2005,Severn House Publishers,42.41
Bullet Proof (Eliot Ness  #3),Max Allan Collins,197,12/20/2005,Severn House Publishers,86.5
The Penguin Companion to European Literature,Anthony Thorlby,907,5/30/1969,Penguin Books,58.26
West To Eden,Gloria Goldreich,501,12/1/1988,Avon Books,40.39
The Various,Steve Augarde,448,11/8/2005,Yearling,52.82
Truman Capote: In Which Various Friends  Enemies  Acquaintances  and Detractors Recall His Turbulent Career,George Plimpton,498,11/10/1998,Anchor,55.88
The Burnt Orange Heresy,Charles Willeford,144,12/20/1999,Carroll & Graf,80.78
Ewan McGregor: From Junkie to Jedi,Brian J. Robb,144,5/5/1999,Plexus Publishing,47.57
Shadow Twin,Gardner Dozois/George R.R. Martin/Daniel Abraham,114,6/1/2005,Subterranean Press,60.51
Der Prophet,Kahlil Gibran,95,9/1/2001,Benziger,49.8
Le prophète,Kahlil Gibran,172,10/8/2002,Dervy,22.7
The Complete Stories of Robert Louis Stevenson: Strange Case of Dr. Jekyll and Mr. Hyde and Nineteen Other Tales,Robert Louis Stevenson/Barry Menikoff,818,10/8/2002,Modern Library,24.37
The Complete Short Stories Of Robert Louis Stevenson: With A Selection Of The Best Short Novels,Robert Louis Stevenson/Charles Neider,720,8/22/1998,Da Capo Press,24.5
A Child's Garden of Verses,Robert Louis Stevenson/Tasha Tudor,67,2/1/1999,Simon & Schuster Books for Young Readers,52.03
Have Space Suit—Will Travel,Robert A. Heinlein,276,2/8/2005,Pocket Books,11.25
Practicalities,Marguerite Duras/Barbara Bray,143,10/22/1993,Grove Press,4.54
Le ravissement de Lol V. Stein,Marguerite Duras,192,6/25/1976,Gallimard,1.15
India Song,Marguerite Duras/Barbara Bray,146,1/13/1994,Grove Press,77.86
Clown,Quentin Blake,32,9/15/1998,Henry Holt and Co. (BYR),3.42
The Spiral Stair (Arabel and Mortimer  #6),Joan Aiken/Quentin Blake,62,8/1/2000,Barn Owl Books,12.42
A Near Thing for Captain Najork (Captain Najork #2),Russell Hoban/Quentin Blake,32,10/1/2006,David R. Godine,4.47
Cover Her Face (Adam Dalgliesh #1),P.D. James/Neville Teller/Robin Ellis/Sian Phillips/Hugh Grant,2,5/7/2002,BBC Physical Audio,47.52
Reptiles and Amphibians (Smithsonian Handbooks),Mark O'Shea/Tim Halliday/Jonathan Metcalf,256,10/1/2002,DK Publishing (Dorling Kindersley),20.83
The Camera (Ansel Adams Photography  #1),Ansel Adams/Robert Hardy Baker,195,6/1/1995,Little  Brown and Company,71.84
The Negative (Ansel Adams Photography  #2),Ansel Adams/Robert Hardy Baker,265,6/1/1995,Little  Brown and Company,39.27
The Print (Ansel Adams Photography  #3),Ansel Adams/Robert Hardy Baker,203,6/1/1995,Little  Brown and Company,75.86
The Changing Status of the Artist,Emma Barker/Nick Webb/Kim W. Woods,260,3/1/1999,Yale University Press,5.02
Vicars of Christ: A History of the Popes,Charles A. Coulombe,492,7/1/2003,Citadel,75.02
The Big Bing: Black Holes of Time Management  Gaseous Executive Bodies  Exploding Careers  and Other Theories on the Origins of the Business Universe,Stanley Bing,368,1/3/2006,Harper Business,31.46
What Would Machiavelli Do?: The Ends Justify the Meanness,Stanley Bing,176,7/28/2004,Harper Business,69.81
William James: In the Maelstrom of American Modernism,Robert D. Richardson Jr.,622,11/9/2006,Houghton Mifflin Harcourt,44.63
Cliffs Notes on Wright's Black Boy,Carl Senna/CliffsNotes/Richard Wright,56,5/5/1971,Cliffs Notes,85.05
The Wit and Wisdom of Abraham Lincoln: A Book of Quotations,Abraham Lincoln/Bob Blaisdell,96,8/8/2005,Dover Publications,46.97
Speeches and Writings 1832–1858,Abraham Lincoln/Don E. Fehrenbacher,898,10/1/1989,Library of America,7.99
Selected Speeches and Writings,Abraham Lincoln/Gore Vidal,515,2/18/1992,Vintage Books USA,51.95
George Eliot: The Last Victorian,Kathryn  Hughes,416,7/2/2001,Cooper Square Press,16.08
The Mill on the Floss,George Eliot/A.S. Byatt,579,2/27/2003,Penguin Classics,86.48
Scenes of Clerical Life,George Eliot/Thomas A. Noble,310,1/24/2002,Oxford University Press,72.23
Terry Jones' Medieval Lives,Terry Jones/Alan Ereira,240,5/5/2005,BBC Books,46.49
Terry Jones' Fairy Tales,Terry Jones/Michael Foreman,160,6/1/1993,Puffin,38.8
Some Ether,Nick Flynn,85,5/1/2000,Graywolf Press,37.17
Tin House: Evil (Volume 8 no. 3),Chris Adrian/Nick Flynn/Francine Prose/Josip Novakovich/Moonshine,224,4/6/2007,Tin House Magazine,12.61
A Note Slipped Under the Door: Teaching from Poems We Love,Nick Flynn/Shirley McPhillips/Philippa Stratton,256,1/1/2000,Stenhouse Publishers,37.19
The Trouble with Testosterone and Other Essays on the Biology of the Human Predicament,Robert M. Sapolsky,288,4/24/1998,Scribner,99.7
Monkeyluv: And Other Essays on Our Lives as Animals,Robert M. Sapolsky,209,10/10/2006,Scribner,70.46
Literary Criticism  Vol. 1: Essays on Literature / American Writers / English Writers,Henry James/Leon Edel/Mark Wilson,1504,12/1/1984,Library of America,69.41
Advanced Statistics Demystified,Larry J. Stephens,324,6/7/2004,McGraw-Hill Education,6.4
Lilly's Big Day,Kevin Henkes,40,3/28/2006,Greenwillow Books,18.58
Chester's Way,Kevin Henkes,32,9/22/1997,Greenwillow Books,89.58
Julius  the Baby of the World,Kevin Henkes,32,9/21/1995,Greenwillow Books,96.28
Forms of Talk,Erving Goffman,344,3/1/1981,University of Pennsylvania Press,63.89
Interaction Ritual - Essays on Face-to-Face Behavior,Erving Goffman,288,1/12/1982,Pantheon,26.56
Study Bible: NIV,Anonymous,2198,10/1/2002,Zondervan Publishing House,79.43
My Lord Eternity (Immortal Rogues  #2),Debbie Raleigh/Alexandra Ivy,256,10/1/2003,Zebra,73.93
Aesop's Fables,Aesop/Ann McGovern,80,11/1/1963,Scholastic Paperbacks,65.31
Once A Wolf: How Wildlife Biologists Fought to Bring Back the Gray Wolf,Stephen R. Swinburne/Jim Brandenburg,48,2/26/2001,HMH Books for Young Readers,78.25
Conversations with Don DeLillo,Don DeLillo/Thomas DePietro,183,1/13/2005,University Press of Mississippi,51.69
Inventing America: Jefferson's Declaration of Independence,Garry Wills,432,11/14/2002,Mariner Books,68.08
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,320,11/14/2006,Simon  Schuster,61.73
Venice: Lion City: The Religion of Empire,Garry Wills,416,9/3/2002,Washington Square Press,47.4
Four Weddings and a Funeral,Richard Curtis,128,4/15/1996,St. Martin's Griffin,37.17
Halloween,Richard Curtis,166,9/1/1982,Bantam,50.36
Janet  My Mother and Me: A Memoir of Growing Up with Janet Flanner and Natalia Danesi Murray,William Murray,320,2/17/2000,Simon & Schuster,91.18
Catch That Pass!,Matt Christopher,130,9/1/1989,Little  Brown Books for Young Readers,94.25
Divide and Conquer (Tom Clancy's Op-Center  #7),Jeff Rovin/Tom Clancy/Steve Pieczenik,372,6/12/2000,Berkley,58.83
Death Match (Tom Clancy's Net Force Explorers  #18),Diane Duane/Tom Clancy/Steve Pieczenik,192,7/1/2003,Berkley,49.54
Line of Control (Tom Clancy's Op-Center  #8),Jeff Rovin/Tom Clancy/Steve Pieczenik,384,6/5/2001,Berkley,91.11
Sea of Fire (Tom Clancy's Op-Center  #10),Jeff Rovin/Tom Clancy/Steve Pieczenik,400,6/24/2003,Berkley Books,18.08
One is the Loneliest Number (Tom Clancy's Net Force Explorers  #3),Diane Duane/Tom Clancy/Steve Pieczenik,182,4/1/1999,Berkley Publishing Group,77.29
Aliens: Nightmare Asylum,Steve Perry,277,4/1/1993,Spectra Books,14.54
The Omega Cage (Matador  #4),Steve Perry/Michael Reaves,256,4/1/1988,Ace,68.28
The 97th Step (Matador  #5),Steve Perry,304,12/1/1989,Ace,59.72
A Friar's Bloodfeud (Knights Templar  #20),Michael Jecks,500,6/5/2006,Headline,49.97
Death Ship of Dartmouth (Knights Templar  #21),Michael Jecks,352,6/1/2006,Headline Book Publishing,77.55
The John Deere Two-Cylinder Tractor Encyclopedia: The Complete Model-by-Model History,Don Macmillan/Wayne G. Broehl Jr.,256,5/15/2007,Voyageur Press,90.47
Phantoms,Rosalind M. Greenberg,270,4/4/1989,DAW,77.6
Fantasy Gone Wrong,Martin H. Greenberg/Brittiany A. Koren/Brian Stableford/Mickey Zucker Reichert/Fiona Patton/Jim C. Hines/Esther M. Friesner/Donald J. Bingle/Alan Dean Foster/Devon Monk/Phaedra M. Weldon/Christina F. York/Jana Paniccia/Josepha Sherman/Susan Sizemore/Michael Jasper/Janny Wurts/Lisanne Norman,309,9/5/2006,DAW,33.71
The Ghosts in Baker Street: New Tales of Sherlock Holmes,Martin H. Greenberg/Daniel Stashower,320,1/9/2006,Running Press,11.07
Christmas Bestiary,Martin H. Greenberg/Jack Nimersheim/Jane Yolen/Jack C. Haldeman II/Harry Turtledove/Laura Resnick/Mike Resnick/Karen Haber/Jane Lindskold/Lawrence Schimel/Barry N. Malzberg/Tanya Huff/Michelle Sagara West/Mark Aronson/Stefan R. Dziemianowicz/Jennifer Roberson/Kristine Kathryn Rusch/Elizabeth Ann Scarborough/Barbara Delaplace/Barb Jernigan/Blake Cahoon,315,11/3/1992,DAW,21.26
Black Cats and Broken Mirrors,John Helfers/Esther M. Friesner/Nina Kiriki Hoffman/Bruce Holland Rogers/Peter Crowther/R. Davis/Charles de Lint/Elizabeth Ann Scarborough/Michelle Sagara West/Nancy Springer/Dean Wesley Smith/Kristine Kathryn Rusch/Josepha Sherman/Jane Lindskold/Genevieve Gorman/Kristin Schwengel/Jean-François Podevin/Zane Stillings/Carol Rondou,320,6/1/1998,DAW,80.83
Time Twisters,Jean Rabe/Martin H. Greenberg/Stephen Leigh/Gene DeWeese/Joe Masdon/Donald J. Bingle/Skip Williams/Penny Williams/Pierce Askegren/Nancy Virginia Varian/Wes Nicholson/John Helfers/Chris Pierson/Harry Turtledove/Kevin J. Anderson/Robert E. Vardeman/Jackie Cassada/James M. Ward/Jon L. Breen/Linda P. Baker,306,1/2/2007,DAW,72.99
The Western Canon: The Books and School of the Ages,Harold Bloom,546,9/1/1995,Riverhead Books,80.34
Shakespeare: The Invention of the Human,Harold Bloom,745,9/1/1999,The Berkley Publishing Group,25.57
The American Religion,Harold Bloom,305,10/1/2006,Chu Hartley Publishers LLC,5.35
American Caesar: Douglas MacArthur 1880-1964,William Manchester,811,9/30/1978,Little  Brown & Company (Boston/Toronto),86.46
Winchester Shotguns,Dennis Adler/R.L. Wilson,372,5/15/2008,Chartwell Books,2.87
Colossians and Philemon: A Critical and Exegetical Commentary (International Critical Commentary),R. McL. Wilson,512,12/7/2005,T&T Clark Int'l,93.99
Maurice Sendak's Seven Little Monsters: What Time is It? - Book #4,Arthur Yorinks/Raymond Jafelice,24,4/5/2004,Volo,50.38
Meditations for Manifesting: Morning and Evening Meditations to Literally Create Your Heart's Desire,Wayne W. Dyer,1,6/1/1995,Hay House,63.32
There's a Spiritual Solution to Every Problem,Wayne W. Dyer,288,8/21/2001,Harper,88.98
Michael Smith Elements of Style,Michael S.  Smith/Diane Dorrans Saeks,212,11/22/2005,Rizzoli International Publications,53.64
Spares,Michael Marshall Smith,317,11/2/1998,HarperCollins,73.55
One of Us,Michael Marshall Smith,368,7/6/1999,Bantam,88.35
The Secret City (Pyrates  #1),Chris Archer,184,2/1/2003,Scholastic Paperbacks,75.1
The Theory and Practice of Group Psychotherapy,Irvin D. Yalom/Molyn Leszcz,688,7/6/2005,Basic Books,98.62
When Nietzsche Wept,Irvin D. Yalom,310,1/4/2005,Harper Perennial,94.06
Existential Psychotherapy,Irvin D. Yalom,544,12/8/1980,Basic Books,61.34
Crown of Stars (Crown of Stars  #7),Kate Elliott,609,1/2/2007,DAW,70.97
Crown Duel (Crown & Court #1-2),Sherwood Smith,471,6/10/2002,Firebird,61.55
A Rose for the Crown,Anne Easter Smith,650,3/14/2006,Simon & Schuster,69.66
The Bloody Crown of Conan (Conan the Cimmerian  #2),Robert E. Howard/Gary Gianni/Patrice Louinet,366,11/23/2004,Del Rey Ballantine Random House,98.35
Rough Crossings: Britain  the Slaves and the American Revolution,Simon Schama,496,4/25/2006,Ecco / HarperCollins,21.65
Landscape and Memory,Simon Schama,672,11/5/1996,Vintage,11.58
The Embarrassment of Riches: An Interpretation of Dutch Culture in the Golden Age,Simon Schama,720,12/8/1997,Vintage,64.79
Citizens: A Chronicle of the French Revolution,Simon Schama,825,8/5/2004,Penguin,72.73
The Feelings Book: The Care & Keeping of Your Emotions,Lynda Madison/Bonnie Timmons/Norm Bendell,104,9/1/2002,American Girl Publishing Inc,83.79
A Smart Girl's Guide to Money: How to Make It  Save It  And Spend It,Nancy Holyoke/Ali Douglass,95,3/1/2006,American Girl Publishing Inc,56.04
What Would You Do? (American Girl Library),Patti Kelley Criswell/Norm Bendell,63,7/1/2004,American Girl Publishing Inc,60.91
The Halloween Activity Book: Creepy  Crawly  Hairy  Scary Things to Do,Mymi Doinet/Benjamin Chaud,32,8/1/2002,Chronicle Books,44.84
The Capricorn Stone,Madeleine Brent,346,5/12/1983,Fawcett,4.91
Golden Urchin,Madeleine Brent,384,11/12/1987,Fawcett,11.01
The Ethics of Ambiguity,Simone de Beauvoir/Bernard Frechtman,162,6/1/2000,Citadel,25.59
She Came to Stay,Simone de Beauvoir,416,10/9/1995,Flamingo,51.92
The Coming of Age,Simone de Beauvoir/Patrick O'Brian,592,6/17/1996,W. W. Norton  Company,27.55
A Transatlantic Love Affair: Letters to Nelson Algren,Simone de Beauvoir/Nelson Algren/Sylvie Le Bon de Beauvoir/Vanessa Kling/Ellen Gordon Reeves,560,9/1/1999,The New Press,99.43
La force de l'âge,Simone de Beauvoir,786,11/14/1986,Folio,70.18
What Life Was Like When Rome Ruled the World: The Roman Empire  100 BC - AD 200 (What Life Was Like),Time-Life Books,192,5/24/1999,Time Life Medical,19.04
Sudden Fiction International: 60 Short-Short Stories,Robert Shapard/James Thomas,352,10/17/1989,W. W. Norton  Company,29.47
Sudden Fiction: American Short-Short Stories,Robert Shapard/James Thomas,264,12/31/1983,Gibbs Smith,2.22
Sarah Bernhardt,Elizabeth Silverthorne/Betty McCollum,136,1/1/2004,Chelsea House Publishers,67.29
The Art of Controversy (The Essays of Arthur Schopenhauer),Thomas Bailey Saunders,76,6/17/2004,Kessinger Publishing,88.82
The Wisdom of Life,Arthur Schopenhauer/Thomas Bailey Saunders,96,3/8/2004,Dover Publications,97.38
For All Time (Time Travelers  #4),Caroline B. Cooney,261,7/8/2003,Laurel Leaf Library,46.86
Wanted!,Caroline B. Cooney,230,7/1/1997,Scholastic Paperbacks,76.92
The Time Travelers: Volume One,Caroline B. Cooney,420,1/10/2006,Laurel Leaf,49.74
The Stranger,Caroline B. Cooney,198,11/1/1993,Scholastic,20.23
Every Night Italian: Every Night Italian,Giuliano Hazan/Marcella Hazan/Dana Gallagher,256,1/12/2000,Scribner,35.36
More Classic Italian Cooking,Marcella Hazan,465,7/12/1984,Ballantine Books,2.94
Practice Makes Perfect: Italian Verb Tenses,Paola Nanni-Tate,252,11/23/2005,McGraw-Hill Companies,34.66
Effigies (Faye Longchamp  #3),Mary Anna Evans,301,1/15/2007,Poisoned Pen Press,77.11
The Cambridge Companion to Schopenhauer,Christopher Janaway,494,1/20/2000,Cambridge University Press,79.32
Stormie: A Story of Forgiveness and Healing,Stormie Omartian,192,9/1/1997,Harvest House Publishers,72.56
The Orion Mystery: Unlocking the Secrets of the Pyramids,Robert Bauval/Adrian Geoffrey Gilbert,352,8/22/1995,Three Rivers Press,98.28
Orion (Orion  #1),Ben Bova,432,12/15/1992,Tor Science Fiction,71.35
Lake Orion (Images of America: Michigan),James E. Ingram/Lori Grove,128,7/19/2006,Arcadia Publishing,56.71
Rick Steves' Europe Through the Back Door,Rick Steves,808,9/12/2017,Avalon Travel,53.81
A Dangerous Man (Hank Thompson  #3),Charlie Huston,286,9/19/2006,Ballantine Books,28.73
Already Dead (Joe Pitt  #1),Charlie Huston,268,12/27/2005,Del Rey,4.74
Caught Stealing (Hank Thompson  #1),Charlie Huston,240,5/31/2005,Ballantine Books,17.01
Ultimate Annuals  Volume 2,Charlie Huston/Mike Carey/Brian Michael Bendis/Robert Kirkman/Mike Deodato/Ryan Sook/Stuart Immonen/Frazier Irving,160,2/7/2007,Marvel,0.06
Dead I Well May Be (Dead Trilogy #1),Adrian McKinty,384,8/31/2004,Pocket Books,42.61
The Dead Yard (Michael Forsythe #2),Adrian McKinty,364,12/26/2006,Pocket Books,71.54
The Lighthouse Land (Lighthouse Trilogy #1),Adrian McKinty,387,10/1/2006,Harry N. Abrams,11.13
Spider Mountain (Cam Richter  #2),P.T. Deutermann,309,12/26/2006,St. Martin's Press,41.64
The Edge of Honor,P.T. Deutermann,626,5/15/1995,St. Martin's Paperbacks,82.04
The Firefly,P.T. Deutermann,528,11/30/2004,St. Martin's Paperbacks,77.32
Diary of a Spider,Doreen Cronin/Harry Bliss,40,7/26/2005,HarperCollins,0.86
The Snow Spider (Snow Spider Trilogy  #1),Jenny Nimmo,146,9/1/2006,Orchard Books (NY),39.64
Ultimate Spider-Man  Volume 16: Deadpool,Brian Michael Bendis/Mark Bagley,184,9/13/2006,Marvel,86.55
Ultimate Spider-Man  Volume 7,Brian Michael Bendis/Mark Bagley,344,10/4/2006,Marvel,21.07
Fables: 1001 Nights of Snowfall,Bill Willingham/Esao Andrews/John Bolton/Mark Buckingham/James Jean/Derek Kirk Kim/Tara  McPherson/Jill Thompson/Mark Wheatley/Michael Wm. Kaluta/Charles Vess/Brian Bolland,140,10/18/2006,Vertigo,25.83
Cold Fire / Hideaway / The Key to Midnight,Dean Koontz/Leigh Nichols,784,8/28/2000,Putnam Adult,8.27
Fables  Vol. 8: Wolves,Bill Willingham/Mark Buckingham/Steve Leialoha/Shawn McManus/Andrew Pepoy,160,12/20/2006,Vertigo,44.66
Fables  Vol. 4: March of the Wooden Soldiers,Bill Willingham/Mark Buckingham/Craig Hamilton/Steve Leialoha/P. Craig Russell,231,11/30/2004,Vertigo,66.23
Fables  Vol. 1: Legends in Exile,Bill Willingham/Terry Moore/Mike Allred/Lan Medina/Mark Buckingham/Matthew Sturges/Steve Leialoha/Craig Hamilton/Russ Braun/James Jean/Tony Akins/Eric Shanower/Shawn McManus/Jae Lee/Chrissie Zullo/David Petersen,128,12/31/2002,Vertigo,13.94
Fables  Vol. 7: Arabian Nights (and Days),Bill Willingham/Mark Buckingham/Steve Leialoha/Jim Fern/Jimmy Palmiotti/Andrew Pepoy,143,7/5/2006,Vertigo,70.33
Fables  Vol. 6: Homelands,Bill Willingham/David Hahn/Mark Buckingham/Lan Medina/Steve Leialoha,190,1/27/2006,Vertigo,76.16
Fables  Vol. 3: Storybook Love,Bill Willingham/Bryan Talbot/Lan Medina/Mark Buckingham/Linda Medley/Steve Leialoha/James Jean,190,5/1/2004,Vertigo,65.38
Fables  Vol. 5: The Mean Seasons,Bill Willingham/Mark Buckingham/Steve Leialoha/Tony Akins/Jimmy Palmiotti,166,4/30/2005,Vertigo,0.27
The Choice: A Fable of Free Trade and Protectionism,Russell Roberts/Russ Roberts,132,9/1/2006,Pearson,59.16
Brewer's Dictionary of Phrase and Fable,John Ayto,1326,8/15/2006,Collins Reference,19.88
Jack of Fables  Vol. 1: The (Nearly) Great Escape,Bill Willingham/Matthew Sturges/Tony Akins/Andrew Pepoy,128,2/28/2007,Vertigo,85.05
Math Fables,Greg Tang/Heather Cahoon,40,1/1/1949,Scholastic Inc.,45.35
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,227,4/11/2002,Jossey-Bass,69.69
Aesop's Fables,Aesop/Laura Harris/Laura Gibbs,306,4/10/2003,Oxford University Press,71.05
Icebound,David Axton/Dean Koontz/Paul Michael,0,3/6/2007,Random House Audio,42.88
Odd Thomas (Odd Thomas #1),Dean Koontz/David Baker,11,12/9/2003,Random House Audio Publishing Group,71.84
